iter	MAE
0	1057.094236
1	1025.958632
2	996.7203189
3	966.8793846
4	941.8965245
5	914.9727407
6	891.1611812
7	869.0106055
8	846.5425104
9	825.5634923
10	804.9573759
11	783.7614234
12	764.0552352
13	745.2909884
14	726.9981329
15	710.7697187
16	695.9957254
17	680.2952185
18	665.859334
19	651.2344558
20	637.7622453
21	624.4965116
22	612.1799449
23	600.2537259
24	588.7230565
25	578.0676526
26	567.5566567
27	557.8865902
28	548.7126672
29	539.9252591
30	532.8006303
31	524.5715539
32	517.1602632
33	510.0575838
34	503.38694
35	496.1200822
36	490.1798318
37	484.0887527
38	478.1692172
39	472.4932736
40	467.6877938
41	463.6295945
42	459.5037557
43	454.7892146
44	450.8720987
45	447.0887632
46	443.1895461
47	439.1513342
48	435.2826266
49	431.8474772
50	428.2868355
51	425.2480111
52	422.137163
53	419.3006183
54	416.4889048
55	413.8531667
56	411.1041585
57	408.5011507
58	405.9789434
59	403.9245962
60	402.0203079
61	399.900513
62	397.8552367
63	395.7575561
64	393.6846673
65	391.8550764
66	390.0809326
67	388.4340541
68	387.0970332
69	385.6238275
70	384.165035
71	382.528548
72	380.9821175
73	379.4213559
74	378.0245847
75	376.659613
76	375.425662
77	374.2115378
78	373.2519365
79	372.1809855
80	371.235216
81	370.234581
82	369.3122377
83	368.4455144
84	367.6986063
85	366.9721291
86	366.3432258
87	365.6220359
88	364.9656428
89	364.279369
90	363.7066099
91	363.0881605
92	362.4815044
93	361.9003024
94	361.4346804
95	360.947524
96	360.4534178
97	359.9851993
98	359.571137
99	359.0864618
100	358.6636222
101	358.2548638
102	357.9052198
103	357.5484307
104	357.1516552
105	356.8119364
106	356.5076541
107	356.2139715
108	355.9938498
109	355.6478728
110	355.3837104
111	355.1528467
112	354.9247255
113	354.6063381
114	354.3789421
115	354.1678452
116	353.9843011
117	353.7063832
118	353.4298648
119	353.1739325
120	352.990933
121	352.767567
122	352.5858624
123	352.4553948
124	352.3105798
125	352.0640321
126	351.8469898
127	351.718265
128	351.4962982
129	351.3939701
130	351.1366929
131	350.9687491
132	350.7617907
133	350.6237866
134	350.4767532
135	350.3119121
136	350.173591
137	350.0174206
138	349.9415832
139	349.8584089
140	349.706795
141	349.5762147
142	349.4512916
143	349.3587821
144	349.300967
145	349.1779341
146	349.0935481
147	348.9928752
148	348.8990979
149	348.8516294
150	348.7811777
151	348.6732646
152	348.6351039
153	348.5394533
154	348.4404532
155	348.3831455
156	348.3448007
157	348.2188291
158	348.122098
159	348.0374734
160	347.9658461
161	347.893998
162	347.8288217
163	347.752685
164	347.6926532
165	347.6212856
166	347.5746018
167	347.5220712
168	347.4555029
169	347.3857203
170	347.2899016
171	347.2336588
172	347.1781477
173	347.0905203
174	347.0362446
175	347.0066241
176	346.9463144
177	346.8745404
178	346.8276281
179	346.7578524
180	346.6965217
181	346.6390116
182	346.575711
183	346.5279203
184	346.4828977
185	346.4297352
186	346.370454
187	346.3046254
188	346.2802562
189	346.239615
190	346.1866195
191	346.1465695
192	346.0645625
193	346.0068218
194	345.9271992
195	345.8822262
196	345.8338519
197	345.7975314
198	345.7561337
199	345.7257836
200	345.6653873
201	345.5919925
202	345.5395856
203	345.4819898
204	345.4574377
205	345.3430649
206	345.306862
207	345.2258286
208	345.134113
209	345.0113417
210	344.9466653
211	344.9067438
212	344.8109313
213	344.7148924
214	344.6631816
215	344.6306695
216	344.5896253
217	344.5168195
218	344.4862666
219	344.4153056
220	344.3772403
221	344.3102621
222	344.2508948
223	344.1844758
224	344.1389816
225	344.118033
226	344.0851128
227	344.0324252
228	343.9942598
229	343.971825
230	343.891894
231	343.8596254
232	343.8441152
233	343.8034586
234	343.776331
235	343.7310558
236	343.6824405
237	343.6330198
238	343.5940813
239	343.5522247
240	343.5007084
241	343.4528138
242	343.4092459
243	343.381396
244	343.3288558
245	343.2939587
246	343.2389816
247	343.2184726
248	343.1515895
249	343.1119444
250	343.0522137
251	342.9907892
252	342.9408485
253	342.8823468
254	342.7937011
255	342.7699339
256	342.7165268
257	342.6872576
258	342.6471099
259	342.6127908
260	342.5665893
261	342.5261822
262	342.4343986
263	342.4073934
264	342.3300196
265	342.2980326
266	342.2682437
267	342.1850747
268	342.1442977
269	342.0620272
270	342.0115545
271	341.9840858
272	341.9378363
273	341.8682062
274	341.8066349
275	341.7748289
276	341.6946099
277	341.6648276
278	341.6423106
279	341.6316279
280	341.5982063
281	341.5375838
282	341.5176189
283	341.4502063
284	341.3741934
285	341.2750313
286	341.2170021
287	341.1810481
288	341.155055
289	341.0942862
