iter	MAE
0	1067.2939
1	1041.673833
2	1018.535688
3	997.4421889
4	976.7412001
5	955.5769427
6	936.5587365
7	918.9605658
8	902.0812697
9	884.5297547
10	868.0130129
11	850.4075647
12	833.3614096
13	816.5698486
14	800.9574522
15	785.0841198
16	770.6412275
17	756.0964504
18	742.4880494
19	729.3122022
20	716.5960489
21	705.312467
22	693.2163856
23	681.0518776
24	669.9938936
25	658.6532704
26	647.8787185
27	637.5343714
28	627.702337
29	617.959488
30	608.8129806
31	599.8986204
32	591.0373489
33	582.8687068
34	575.1067452
35	567.2482517
36	559.8586602
37	552.8420278
38	547.1293051
39	540.158505
40	533.671669
41	527.513294
42	521.9553321
43	516.2528549
44	510.9888313
45	505.3659261
46	500.1669115
47	495.8885686
48	491.5291484
49	486.8978654
50	482.4483695
51	478.6553992
52	474.516219
53	470.4571889
54	466.6413423
55	463.2446396
56	459.4700581
57	456.5125745
58	453.1781599
59	449.7044722
60	446.3332221
61	442.9906423
62	440.06469
63	436.9317256
64	434.1867281
65	431.4543692
66	428.8925927
67	426.5547886
68	424.154013
69	421.7572738
70	419.2519007
71	416.9356053
72	415.1409762
73	413.0897692
74	411.3668506
75	409.3383997
76	407.5365755
77	405.8551329
78	404.2148459
79	402.6120779
80	400.9314177
81	399.2943702
82	397.9400457
83	396.3961799
84	394.8366554
85	393.4715665
86	391.8091018
87	390.6046903
88	389.5812339
89	388.239052
90	387.0526909
91	385.7352406
92	384.5232889
93	383.621566
94	382.4177273
95	381.371949
96	380.3320288
97	379.4031969
98	378.331858
99	377.2968531
100	376.249698
101	375.3115334
102	374.5824032
103	373.6808402
104	372.7666704
105	372.0845109
106	371.3096632
107	370.4840783
108	369.7980938
109	369.1171949
110	368.3911247
111	367.7356911
112	367.0494329
113	366.5361346
114	366.0458484
115	365.4903288
116	364.9578632
117	364.4895264
118	363.9415287
119	363.440076
120	362.9728993
121	362.4871414
122	362.0614202
123	361.714297
124	361.2699414
125	360.9780535
126	360.6188501
127	360.2422381
128	359.8267677
129	359.4180943
130	359.1104685
131	358.7899841
132	358.4399436
133	358.1316806
134	357.7622237
135	357.4312969
136	357.0900073
137	356.8472368
138	356.5985608
139	356.294045
140	356.0127798
141	355.7465904
142	355.5098045
143	355.2643269
144	355.0299874
145	354.810059
146	354.5623181
147	354.4215347
148	354.1827896
149	353.9902367
150	353.8125839
151	353.5081761
152	353.2653762
153	353.0462421
154	352.887493
155	352.7426971
156	352.5972794
157	352.4217669
158	352.2151014
159	352.0431583
160	351.85351
