iter	Accuracy	Logloss
89	0.9694450443	0.1273702491
90	0.9694450443	0.1272358647
91	0.9694990283	0.1271172892
92	0.9694990283	0.1270136539
93	0.9695530123	0.1269234849
94	0.9695530123	0.1268107763
95	0.9696069963	0.1266934622
96	0.9695530123	0.1265736523
97	0.9695530123	0.1264647107
98	0.9695530123	0.126393259
99	0.9695530123	0.1262788043
100	0.9696069963	0.1261686342
101	0.9696069963	0.1260806601
102	0.9696069963	0.1259938812
103	0.9696069963	0.1259277216
104	0.9696069963	0.125818909
105	0.9696069963	0.125754809
106	0.9696069963	0.12569875
107	0.9696069963	0.1256369903
108	0.9696609803	0.1255703154
109	0.9696609803	0.1254864898
110	0.9696609803	0.1254475696
111	0.9697689484	0.1253876262
112	0.9697689484	0.1253312878
113	0.9697689484	0.1252683964
114	0.9697689484	0.1251727154
115	0.9698229324	0.125120614
116	0.9698229324	0.1250511281
117	0.9698229324	0.1249896425
118	0.9698229324	0.1249586788
119	0.9698229324	0.1248819853
120	0.9698229324	0.1248374447
121	0.9698229324	0.124780988
122	0.9698769164	0.1247149974
123	0.9699309005	0.1246359263
124	0.9699309005	0.1245851477
125	0.9698769164	0.1245137658
126	0.9699309005	0.1244817767
127	0.9699309005	0.1244206453
128	0.9699309005	0.1243554304
129	0.9699309005	0.12435536
130	0.9699309005	0.1243115127
131	0.9699309005	0.1242652892
132	0.9699309005	0.1242590986
133	0.9699309005	0.1241934893
134	0.9699309005	0.1241386623
135	0.9699848845	0.1240833581
136	0.9699309005	0.1240202521
137	0.9699848845	0.1239578389
138	0.9700388685	0.1239010831
139	0.9700388685	0.1238603911
140	0.9700388685	0.1238092745
141	0.9700388685	0.1237302396
142	0.9699848845	0.1236799238
143	0.9700388685	0.123622146
144	0.9700388685	0.1235726158
145	0.9700388685	0.123524371
146	0.9700928525	0.1234589847
147	0.9700928525	0.1233942666
148	0.9700928525	0.1233454866
149	0.9700928525	0.1233052102
150	0.9700388685	0.1232665724
151	0.9700388685	0.1231966527
152	0.9700928525	0.1231517863
153	0.9700388685	0.1231077475
154	0.9700928525	0.1230919861
155	0.9700928525	0.1230511139
156	0.9700928525	0.1230208524
157	0.9700928525	0.1229505868
158	0.9701468365	0.12290618
159	0.9701468365	0.1229061753
160	0.9701468365	0.1228732141
161	0.9701468365	0.1228374313
162	0.9701468365	0.1227983871
163	0.9701468365	0.1227641076
164	0.9701468365	0.1227127927
165	0.9701468365	0.1226810004
166	0.9701468365	0.1226420763
167	0.9701468365	0.1226024369
168	0.9701468365	0.1225660403
169	0.9701468365	0.122530143
170	0.9701468365	0.1224828931
171	0.9701468365	0.1224424282
172	0.9702548046	0.1223759789
173	0.9702548046	0.1223385054
174	0.9703627726	0.1222966889
175	0.9703627726	0.1222770209
176	0.9703627726	0.1222576417
177	0.9704167566	0.1222165155
178	0.9704167566	0.1221858914
179	0.9704167566	0.122156586
180	0.9704167566	0.1221262287
181	0.9704167566	0.1220624606
182	0.9704167566	0.1220344801
183	0.9704167566	0.1219867174
184	0.9704167566	0.1219400296
185	0.9704167566	0.1219036584
186	0.9704167566	0.1218569128
187	0.9704167566	0.1218289452
