iter	MAE
0	1065.456849
1	1043.045844
2	1019.718399
3	998.3298905
4	976.8446512
5	955.1668682
6	935.8197309
7	916.1048338
8	897.2335097
9	879.6396238
10	861.3918896
11	843.2024768
12	826.3670684
13	810.3654181
14	794.1069014
15	779.2600279
16	764.6524106
17	750.2550999
18	736.4114034
19	722.8442258
20	710.568626
21	699.3258849
22	687.9738483
23	676.036551
24	665.2697107
25	654.3441309
26	643.5907777
27	633.0790563
28	622.937311
29	613.5844161
30	604.1407101
31	595.3320074
32	586.9054998
33	578.5220144
34	570.4521759
35	562.4708175
36	554.8906525
37	547.9940279
38	541.1710027
39	534.2201759
40	527.7588368
41	521.392149
42	515.7738215
43	510.3222957
44	504.9215511
45	499.6015733
46	494.5312038
47	489.6632247
48	485.0051352
49	480.7655917
50	476.3672005
51	472.3504611
52	468.1293184
53	464.0446614
54	460.1424766
55	456.1885535
56	452.8970645
57	449.4954224
58	446.1551958
59	442.85018
60	439.6416038
61	436.5339852
62	433.9281375
63	431.1204799
64	428.300618
65	425.6471451
66	423.2813448
67	420.6514403
68	418.2720522
69	416.2010322
70	413.8737218
71	411.9453436
72	409.9508323
73	408.2831647
74	406.4655981
75	404.6933615
76	403.1095635
77	401.2999443
78	399.3756182
79	397.5350692
80	395.9830201
81	394.5600423
82	392.9689422
83	391.4917917
84	390.2478834
85	388.6861763
86	387.2561734
87	385.8581425
88	384.5423918
89	383.4132254
90	382.3176766
91	381.2484544
92	379.966105
93	378.7742554
94	377.7882887
95	376.6291586
96	375.5951157
97	374.584864
98	373.5455426
99	372.6080923
100	371.8577256
101	370.9349943
102	370.348608
103	369.5229837
104	368.7746442
105	368.1412692
106	367.4433749
107	366.8248573
108	366.1439214
109	365.406336
110	364.7951582
111	364.2026598
112	363.6412811
113	363.0335793
114	362.5384759
115	362.1001449
116	361.638194
117	361.1053475
118	360.6832728
119	360.2312179
120	359.7575211
121	359.313793
122	358.8527767
123	358.4653385
124	358.0967042
125	357.7191386
126	357.3555707
127	357.0097429
128	356.66702
129	356.3446593
130	356.0053149
131	355.7599509
132	355.4466914
133	355.1075076
134	354.8261549
135	354.5779219
136	354.338656
137	354.1350513
138	353.9122414
139	353.6652176
140	353.4336519
141	353.2682984
142	353.0446411
143	352.8632795
144	352.5424855
145	352.3696805
146	352.1469286
147	351.9272368
148	351.7762066
149	351.6265188
150	351.469107
151	351.2898042
152	351.1476568
153	350.9254733
154	350.7688343
155	350.5610141
156	350.3648455
157	350.2489905
158	350.115706
159	349.9071367
160	349.7852909
161	349.5684032
162	349.3956149
163	349.2257171
164	349.06315
165	348.8520864
166	348.7107231
167	348.5833294
168	348.436821
169	348.259695
170	348.0998846
171	347.9236497
172	347.7574275
173	347.5839548
174	347.5008443
175	347.3472862
176	347.2222081
177	347.1204568
178	346.9671907
179	346.8272014
180	346.7222313
181	346.605575
182	346.5041253
183	346.4207786
184	346.3133222
185	346.216636
186	346.1222729
187	346.0198968
188	345.9215907
189	345.8147898
